Wall time,Step,Value
1555697073.1118896,1710000,615.0
1555697121.362601,1719000,666.0
1555697175.120181,1729000,657.0
1555697197.0084822,1733000,705.0
1555697208.6661012,1735000,606.0
1555697224.5532155,1738000,630.0
1555697251.829033,1743000,625.0
1555697267.7659028,1746000,613.0
1555697273.1315289,1747000,652.0
1555697278.477754,1748000,685.0
1555697305.693558,1753000,687.0
1555697380.8109214,1767000,573.0
1555697429.358187,1776000,688.0
1555697463.161369,1782000,659.0
1555697500.5953918,1789000,684.0
1555697506.291271,1790000,675.0
1555697554.5987835,1799000,622.0
1555697592.63046,1806000,640.0
1555697657.4850621,1818000,654.0
1555697707.2706351,1827000,609.0
1555697729.3352005,1831000,610.0
1555697783.3818734,1841000,641.0
1555697804.721058,1845000,599.0
1555697831.9241614,1850000,595.0
1555697853.6301808,1854000,634.0
1555697925.488279,1867000,699.0
1555697942.019017,1870000,641.0
1555697974.6409903,1876000,666.0
1555697980.0083487,1877000,628.0
1555697985.3649294,1878000,619.0
1555698171.5075667,1912000,606.0
1555698203.553482,1918000,659.0
1555698241.7698255,1925000,650.0
1555698274.7291648,1931000,673.0
1555698296.1164563,1935000,659.0
1555698306.7891796,1937000,680.0
1555698317.4771419,1939000,706.0
1555698350.3491936,1945000,639.0
1555698367.4566016,1948000,631.0
1555698378.5098267,1950000,662.0
1555698394.9146967,1953000,677.0
1555698475.8357918,1968000,636.0
1555698486.9439864,1970000,644.0
1555698552.1144528,1982000,643.0
1555698557.419582,1983000,669.0
1555698562.7417045,1984000,677.0
1555698639.326587,1998000,678.0
1555698661.5563781,2002000,691.0
1555698682.9970722,2006000,676.0
1555698726.5588534,2014000,668.0
1555698747.8813505,2018000,688.0
1555698792.480824,2026000,698.0
1555698803.1464496,2028000,669.0
1555698820.0600016,2031000,701.0
1555698836.1187418,2034000,664.0
1555698852.1773937,2037000,627.0
1555698879.8065908,2042000,701.0
1555698983.1610994,2061000,727.0
1555699049.4388628,2073000,686.0
1555699054.8153028,2074000,677.0
1555699070.9714954,2077000,639.0
1555699076.4533799,2078000,642.0
1555699087.7037456,2080000,706.0
1555699098.8985248,2082000,666.0
1555699120.434786,2086000,698.0
1555699142.356274,2090000,651.0
1555699169.6065965,2095000,689.0
1555699180.3810234,2097000,715.0
1555699263.726479,2112000,683.0
1555699285.0541606,2116000,690.0
1555699323.3582885,2123000,704.0
1555699427.86165,2142000,672.0
1555699443.943725,2145000,670.0
1555699449.3040588,2146000,682.0
1555699471.1828492,2150000,680.0
1555699482.324764,2152000,735.0
1555699510.1338615,2157000,707.0
1555699559.4637647,2166000,710.0
1555699581.4542038,2170000,719.0
1555699592.7415295,2172000,666.0
1555699603.5374513,2174000,686.0
1555699625.05485,2178000,700.0
1555699679.7989907,2188000,672.0
1555699691.088917,2190000,712.0
1555699702.2658532,2192000,668.0
1555699707.644349,2193000,717.0
1555699729.0765655,2197000,708.0
1555699745.6355777,2200000,691.0
1555699788.993516,2208000,649.0
1555699812.4585493,2212000,725.0
1555699888.8181522,2226000,686.0
1555699910.836599,2230000,704.0
1555699922.0823157,2232000,731.0
1555699948.9026935,2237000,724.0
1555699954.2453465,2238000,704.0
1555699965.4465394,2240000,646.0
1555699982.057815,2243000,728.0
1555699992.7814884,2245000,723.0
1555700003.4876394,2247000,705.0
1555700008.8519514,2248000,717.0
1555700047.4977033,2255000,703.0
1555700063.5978866,2258000,690.0
1555700091.4204252,2263000,727.0
1555700196.5484698,2282000,719.0
1555700251.2035599,2292000,699.0
1555700283.531093,2298000,719.0
1555700318.028937,2304000,692.0
1555700339.630307,2308000,660.0
1555700345.0499284,2309000,750.0
1555700405.7650063,2320000,747.0
1555700411.665564,2321000,682.0
1555700422.4369092,2323000,675.0
1555700493.5801575,2336000,772.0
1555700549.8408563,2346000,706.0
1555700599.5663624,2355000,718.0
1555700693.4699173,2372000,681.0
1555700793.5411482,2390000,742.0
1555700799.464393,2391000,764.0
1555700810.2539132,2393000,704.0
1555700854.3645227,2401000,771.0
1555700865.1830575,2403000,693.0
1555700887.889369,2407000,697.0
1555700942.9522872,2417000,721.0
1555700987.2035275,2425000,749.0
1555700992.5890467,2426000,739.0
1555701054.246281,2437000,706.0
1555701098.5602918,2445000,697.0
1555701132.1329591,2451000,772.0
1555701137.536733,2452000,680.0
1555701148.3527186,2454000,725.0
1555701159.1623597,2456000,691.0
1555701187.3366742,2461000,697.0
1555701326.395278,2486000,715.0
1555701331.8039842,2487000,733.0
1555701387.130379,2497000,715.0
1555701397.9608305,2499000,743.0
1555701422.0155854,2503000,744.0
1555701427.4205189,2504000,760.0
1555701504.5873003,2518000,711.0
1555701538.4179122,2524000,708.0
1555701565.5747662,2529000,741.0
1555701578.776442,2531000,714.0
1555701589.6218214,2533000,670.0
1555701600.4724681,2535000,695.0
1555701672.215971,2548000,748.0
1555701695.1366472,2552000,706.0
1555701706.0128422,2554000,746.0
1555701722.3145506,2557000,768.0
1555701773.5352774,2566000,733.0
1555701778.9810324,2567000,735.0
1555701834.7516222,2577000,771.0
1555701845.6756759,2579000,728.0
1555701913.6008239,2591000,769.0
1555701920.158712,2592000,771.0
1555701925.593312,2593000,694.0
1555701947.4080637,2597000,724.0
1555701970.5144587,2601000,744.0
1555702003.2352707,2607000,754.0
1555702099.8403828,2624000,780.0
1555702133.1023524,2630000,786.0
1555702139.2000537,2631000,771.0
1555702183.047286,2639000,754.0
1555702216.9260664,2645000,726.0
1555702252.011965,2651000,755.0
1555702279.315947,2656000,751.0
1555702385.4580774,2675000,730.0
1555702408.4374263,2679000,777.0
1555702420.7456841,2681000,786.0
1555702448.1651409,2686000,810.0
1555702476.8910117,2691000,754.0
1555702549.3038173,2704000,730.0
1555702590.0170014,2711000,780.0
1555702673.3115823,2726000,746.0
1555702741.7140794,2738000,786.0
1555702759.5610425,2741000,761.0
1555702792.6128902,2747000,800.0
1555702837.892663,2755000,738.0
1555702843.369835,2756000,770.0
1555702848.8255372,2757000,723.0
1555702854.3033235,2758000,789.0
1555702906.1059513,2767000,757.0
1555703036.4548223,2790000,710.0
1555703042.5900033,2791000,786.0
1555703048.040894,2792000,752.0
1555703086.268423,2799000,740.0
1555703148.7012146,2810000,723.0
1555703160.3941157,2812000,796.0
1555703228.8732784,2824000,759.0
1555703234.3718581,2825000,794.0
1555703250.8995976,2828000,786.0
1555703262.6118581,2830000,767.0
1555703268.816527,2831000,772.0
1555703279.813965,2833000,818.0
1555703388.155836,2852000,727.0
1555703433.0083714,2860000,765.0
1555703502.4377558,2872000,784.0
1555703507.9433825,2873000,737.0
1555703553.5031269,2881000,832.0
1555703559.0378313,2882000,778.0
1555703592.2350209,2888000,796.0
1555703610.2749267,2891000,803.0
1555703644.374291,2897000,756.0
1555703667.7972722,2901000,815.0
1555703763.0254364,2918000,762.0
1555703774.824802,2920000,773.0
1555703782.2248423,2921000,787.0
1555703787.711678,2922000,827.0
1555703849.8547912,2933000,734.0
1555703953.4975703,2951000,785.0
1555704048.8797987,2968000,736.0
1555704090.3641706,2975000,778.0
1555704095.8849287,2976000,780.0
1555704112.4446957,2979000,801.0
1555704204.1143785,2995000,801.0
1555704227.3039885,2999000,790.0
1555704256.510863,3004000,842.0
1555704267.567555,3006000,738.0
1555704278.6059391,3008000,774.0
1555704290.4410367,3010000,806.0
1555704302.2807338,3012000,783.0
1555704324.4037929,3016000,776.0
1555704329.916405,3017000,802.0
1555704393.2594872,3028000,785.0
1555704411.4388654,3031000,804.0
1555704455.5672798,3039000,772.0
1555704473.7395194,3042000,748.0
1555704479.3090804,3043000,804.0
1555704526.624296,3051000,751.0
1555704611.6954987,3066000,789.0
1555704634.7106404,3070000,770.0
1555704647.8244393,3072000,826.0
1555704733.0421865,3087000,799.0
1555704809.1352222,3100000,774.0
1555704942.6218176,3123000,793.0
1555705027.6688786,3138000,814.0
1555705033.2351418,3139000,779.0
1555705069.567462,3145000,826.0
1555705075.147885,3146000,802.0
1555705104.844674,3151000,819.0
1555705132.791399,3156000,774.0
1555705156.0305588,3160000,813.0
1555705168.070332,3162000,814.0
1555705260.0951543,3178000,805.0
1555705323.0655901,3189000,788.0
1555705364.814441,3196000,774.0
1555705370.344897,3197000,823.0
1555705411.052035,3204000,819.0
1555705427.7308161,3207000,845.0
1555705567.8620653,3231000,838.0
1555705584.618781,3234000,787.0
1555705626.633086,3241000,827.0
1555705643.3842268,3244000,816.0
1555705648.998525,3245000,823.0
1555705660.1197357,3247000,789.0
1555705665.6929202,3248000,807.0
1555705781.9340246,3268000,786.0
1555705811.5817132,3273000,776.0
1555705863.7129247,3282000,816.0
1555705876.076413,3284000,797.0
1555705887.249199,3286000,816.0
1555705928.2188847,3293000,822.0
1555706002.429246,3306000,808.0
1555706014.664279,3308000,738.0
1555706049.853226,3314000,832.0
1555706096.4991908,3322000,796.0
1555706129.9863427,3328000,834.0
1555706135.594259,3329000,792.0
1555706166.6571999,3334000,810.0
1555706194.7025201,3339000,846.0
1555706235.9565277,3346000,805.0
1555706306.324835,3358000,789.0
1555706330.6439724,3362000,831.0
1555706405.6278026,3375000,801.0
1555706416.8347788,3377000,805.0
1555706429.1474178,3379000,798.0
1555706447.8057241,3382000,811.0
1555706475.8372104,3387000,795.0
1555706576.0213792,3404000,805.0
1555706604.1200802,3409000,830.0
1555706710.3243287,3427000,801.0
1555706734.8074985,3431000,822.0
1555706751.5205908,3434000,793.0
1555706779.369023,3439000,814.0
1555706821.528445,3446000,819.0
1555706844.917614,3450000,841.0
1555706857.1355562,3452000,845.0
1555706890.6252236,3458000,803.0
1555706896.2204106,3459000,856.0
1555706931.8677373,3465000,801.0
1555706974.30887,3472000,849.0
1555707007.8367894,3478000,814.0
1555707026.7832854,3481000,813.0
1555707061.5747721,3487000,804.0
1555707125.1461117,3498000,803.0
1555707137.3434026,3500000,825.0
1555707196.550309,3510000,797.0
1555707214.4555223,3513000,814.0
1555707225.7217512,3515000,841.0
1555707254.8378723,3520000,846.0
1555707349.3150976,3536000,803.0
1555707360.6368554,3538000,839.0
1555707396.5913124,3544000,798.0
1555707419.161942,3548000,846.0
1555707431.4816687,3550000,822.0
1555707515.0831156,3564000,801.0
1555707585.0308115,3576000,835.0
1555707616.5848413,3581000,838.0
1555707686.5069826,3593000,819.0
1555707692.1230888,3594000,851.0
1555707727.0360637,3600000,800.0
1555707734.88248,3601000,818.0
1555707815.7896018,3615000,838.0
1555707838.2196019,3619000,832.0
1555707851.6216497,3621000,820.0
1555707863.997207,3623000,803.0
1555707880.832097,3626000,828.0
1555707897.6900992,3629000,823.0
1555707999.1932206,3646000,848.0
1555708063.56351,3657000,799.0
1555708069.2295933,3658000,822.0
1555708105.1412501,3664000,823.0
1555708147.7630122,3671000,849.0
1555708288.704509,3695000,842.0
1555708325.021699,3701000,863.0
1555708336.1704664,3703000,819.0
1555708459.9290917,3724000,852.0
1555708476.855339,3727000,816.0
1555708502.857296,3731000,848.0
1555708508.4983442,3732000,849.0
1555708514.172403,3733000,830.0
1555708548.0189373,3739000,815.0
1555708567.3442245,3742000,825.0
1555708578.670943,3744000,848.0
1555708633.1381636,3753000,862.0
1555708674.038165,3760000,872.0
1555708703.4370503,3765000,839.0
1555708752.0785778,3773000,868.0
1555708774.6184413,3777000,855.0
1555708799.5093756,3781000,837.0
1555708876.4614532,3794000,897.0
1555708887.739934,3796000,830.0
1555708904.6385229,3799000,841.0
1555708978.5842528,3811000,864.0
1555709001.0590327,3815000,819.0
1555709030.505556,3820000,858.0
1555709043.0709147,3822000,850.0
1555709103.1596887,3832000,871.0
1555709114.374063,3834000,832.0
1555709125.6008277,3836000,818.0
1555709201.0564184,3849000,876.0
1555709297.2693067,3865000,822.0
1555709326.5951214,3870000,867.0
1555709368.33335,3877000,821.0
1555709517.7135732,3902000,883.0
1555709523.3653762,3903000,877.0
1555709529.0397313,3904000,841.0
1555709572.2987816,3911000,849.0
1555709631.1498904,3921000,836.0
1555709676.4362633,3929000,863.0
1555709719.722567,3936000,873.0
1555709743.6215048,3940000,842.0
1555709809.7127352,3951000,821.0
1555709844.6423872,3957000,864.0
1555709881.1056447,3963000,863.0
1555709989.057368,3981000,882.0
1555710011.8993373,3985000,843.0
1555710078.119445,3996000,862.0
1555710109.1096406,4001000,852.0
1555710137.4601085,4006000,823.0
1555710162.6118538,4010000,896.0
1555710169.6232264,4011000,818.0
1555710234.3608544,4022000,880.0
1555710240.026257,4023000,844.0
1555710306.0174887,4034000,870.0
1555710317.315668,4036000,853.0
1555710322.9694579,4037000,857.0
1555710365.3526595,4044000,836.0
1555710382.3578553,4047000,862.0
1555710388.0499918,4048000,869.0
1555710393.7371392,4049000,851.0
1555710431.7071865,4055000,869.0
1555710563.147606,4077000,857.0
1555710666.3015637,4094000,860.0
1555710694.6961975,4099000,860.0
1555710701.7738373,4100000,821.0
1555710714.5379686,4102000,845.0
1555710762.4727342,4110000,892.0
1555711111.1859787,4168000,881.0
1555711196.7790089,4182000,796.0
1555711202.481345,4183000,883.0
1555711269.697461,4194000,858.0
1555711275.4375966,4195000,891.0
1555711286.9172318,4197000,891.0
1555711298.4082272,4199000,882.0
1555711318.5172687,4202000,828.0
1555711324.2098117,4203000,890.0
1555711336.767669,4205000,883.0
1555711474.8038325,4228000,888.0
1555711506.1937323,4233000,888.0
1555711523.2850718,4236000,874.0
1555711540.4143572,4239000,827.0
1555711573.107641,4244000,873.0
1555711638.8126936,4255000,862.0
1555711694.2520342,4264000,879.0
1555711711.4602482,4267000,813.0
1555711717.187239,4268000,872.0
1555711771.7765577,4277000,853.0
1555711810.1841247,4283000,874.0
1555711904.4707475,4299000,863.0
1555711942.6621554,4305000,867.0
1555711965.3414354,4309000,873.0
1555712019.5039148,4318000,832.0
1555712033.566811,4320000,890.0
1555712086.3356018,4329000,855.0
1555712112.1913466,4333000,887.0
1555712147.5797,4339000,894.0
1555712179.110972,4344000,857.0
1555712214.7831082,4350000,869.0
1555712269.413443,4359000,872.0
1555712312.682336,4366000,870.0
1555712337.1718853,4370000,877.0
1555712391.7816792,4379000,853.0
1555712485.3704066,4394000,876.0
1555712528.9695075,4401000,884.0
1555712546.109165,4404000,878.0
1555712563.282965,4407000,897.0
1555712590.8373737,4411000,896.0
1555712596.6202054,4412000,864.0
1555712713.195818,4431000,902.0
1555712718.9219565,4432000,836.0
1555712730.364525,4434000,908.0
1555712766.358539,4440000,906.0
1555712785.1722522,4443000,851.0
