Wall time,Step,Value
1555688279.774593,6000,61.0
1555688342.5533583,19000,93.0
1555688371.5134945,25000,77.0
1555688448.7713983,41000,72.0
1555688458.4275887,43000,60.0
1555688472.9449236,46000,72.0
1555688511.6557357,54000,56.0
1555688526.1917396,57000,84.0
1555688599.5110252,72000,58.0
1555688614.0770898,75000,59.0
1555688711.422062,95000,43.0
1555688750.4395761,103000,76.0
1555688769.9383712,107000,54.0
1555688867.7626543,127000,70.0
1555688931.5977168,140000,55.0
1555688985.6904044,151000,76.0
1555689010.259251,156000,61.0
1555689024.9784474,159000,62.0
1555689069.1259115,168000,82.0
1555689123.1711836,179000,50.0
1555689147.8460872,184000,52.0
1555689157.6708286,186000,56.0
1555689162.587204,187000,54.0
1555689182.3388972,191000,47.0
1555689221.6286952,199000,43.0
1555689265.9808474,208000,46.0
1555689290.7418249,213000,85.0
1555689345.0425246,224000,38.0
1555689374.677109,230000,77.0
1555689399.36603,235000,59.0
1555689473.525618,250000,75.0
1555689503.3044417,256000,68.0
1555689528.121694,261000,97.0
1555689562.7538104,268000,57.0
1555689582.7130146,272000,50.0
1555689592.6281807,274000,73.0
1555689687.761408,293000,69.0
1555689712.6821928,298000,67.0
1555689742.6651876,304000,69.0
1555689767.6257582,309000,66.0
1555689777.6550758,311000,82.0
1555689817.362508,319000,71.0
1555689877.232784,331000,47.0
1555689922.0692377,340000,62.0
1555689962.043454,348000,66.0
1555690042.2611642,364000,45.0
1555690062.2249434,368000,64.0
1555690112.6000106,378000,81.0
1555690334.9961,422000,45.0
1555690340.0531974,423000,62.0
1555690427.0141625,440000,65.0
1555690437.1705058,442000,60.0
1555690442.1823275,443000,57.0
1555690457.251606,446000,62.0
1555690533.0342574,461000,30.0
1555690548.0776975,464000,44.0
1555690553.1080692,465000,69.0
1555690603.5481079,475000,42.0
1555690689.843568,492000,42.0
1555690699.9872806,494000,67.0
1555690796.4877868,513000,51.0
1555690806.610243,515000,68.0
1555690821.795576,518000,52.0
1555690862.422531,526000,54.0
1555690892.9123516,532000,89.0
1555690903.0191612,534000,60.0
1555690918.167073,537000,73.0
1555690948.6488817,543000,58.0
1555690973.892163,548000,69.0
1555691024.814039,558000,51.0
1555691056.0789328,564000,51.0
1555691086.6488295,570000,58.0
1555691106.988196,574000,67.0
1555691137.4322205,580000,38.0
1555691147.6406186,582000,70.0
1555691173.008465,587000,47.0
1555691178.083349,588000,25.0
1555691208.6563907,594000,72.0
1555691254.247219,603000,88.0
1555691345.6723442,621000,59.0
1555691355.7947574,623000,48.0
1555691416.6566594,635000,58.0
1555691452.3355725,642000,44.0
1555691457.399273,643000,70.0
1555691467.5400562,645000,45.0
1555691482.7362478,648000,59.0
1555691492.9350398,650000,58.0
1555691554.223526,662000,58.0
1555691569.548166,665000,72.0
1555691589.9047534,669000,43.0
1555691605.375974,672000,42.0
1555691620.598679,675000,78.0
1555691641.561582,679000,59.0
1555691646.7519238,680000,70.0
1555691667.1324492,684000,50.0
1555691692.4268875,689000,73.0
1555691825.2968316,715000,72.0
1555691845.6505346,719000,44.0
1555691866.3635855,723000,38.0
1555691871.4518447,724000,96.0
1555691907.3731523,731000,70.0
1555691953.2746,740000,52.0
1555691973.8095167,744000,78.0
1555691994.1620984,748000,44.0
1555692019.9306345,753000,61.0
1555692040.4817116,757000,58.0
1555692086.5400972,766000,50.0
1555692106.9646723,770000,71.0
1555692112.1412473,771000,72.0
1555692117.989369,772000,47.0
1555692128.1800945,774000,69.0
1555692133.2959466,775000,67.0
1555692164.0781636,781000,45.0
1555692189.503627,786000,44.0
1555692199.6624546,788000,45.0
1555692225.3430007,793000,31.0
1555692230.414797,794000,79.0
1555692235.5049853,795000,55.0
1555692255.8274376,799000,71.0
1555692276.426111,803000,77.0
1555692301.885056,808000,53.0
1555692306.9750443,809000,38.0
1555692312.2109644,810000,58.0
1555692430.2639105,833000,50.0
1555692450.6920817,837000,39.0
1555692620.6426032,870000,60.0
1555692646.4809468,875000,48.0
1555692656.7592077,877000,68.0
1555692688.657459,883000,46.0
1555692730.0824485,891000,69.0
1555692760.801242,897000,55.0
1555692781.5681403,901000,55.0
1555692817.4478493,908000,63.0
1555692827.8243353,910000,40.0
1555692858.7663395,916000,36.0
1555692869.0617502,918000,57.0
1555692941.5445318,932000,67.0
1555692946.673663,933000,65.0
1555692998.4636986,943000,79.0
1555693013.9185421,946000,79.0
1555693060.6592429,955000,53.0
1555693081.2577176,959000,58.0
1555693102.9498935,963000,48.0
1555693149.5847108,972000,77.0
1555693154.7418187,973000,63.0
1555693185.6696553,979000,52.0
1555693190.9742637,980000,59.0
1555693216.93195,985000,43.0
1555693279.3652294,997000,45.0
1555693310.8490508,1003000,50.0
1555693326.3843102,1006000,47.0
1555693373.3808084,1015000,33.0
1555693388.93326,1018000,70.0
1555693430.7622643,1026000,20.0
1555693493.725051,1038000,44.0
1555693531.5067768,1045000,50.0
1555693599.4798093,1058000,51.0
1555693630.9667265,1064000,49.0
1555693646.6066818,1067000,42.0
1555693657.030754,1069000,33.0
1555693678.3562021,1073000,62.0
1555693699.2635558,1077000,35.0
1555693709.7573874,1079000,57.0
1555693736.0821078,1084000,53.0
1555693741.2750528,1085000,42.0
1555693788.4142203,1094000,51.0
1555693819.835794,1100000,39.0
1555693840.8564804,1104000,47.0
1555693846.0528164,1105000,67.0
1555693898.6058218,1115000,46.0
1555693925.6255035,1120000,58.0
1555693999.2709906,1134000,58.0
1555694114.4772336,1156000,50.0
1555694119.6569443,1157000,44.0
1555694140.7263763,1161000,48.0
1555694145.9761007,1162000,32.0
1555694151.187223,1163000,50.0
1555694246.626207,1181000,38.0
1555694309.684355,1193000,50.0
1555694314.9173534,1194000,35.0
1555694346.4507198,1200000,58.0
1555694357.128431,1202000,37.0
1555694383.344419,1207000,42.0
1555694520.434276,1233000,49.0
1555694530.8782678,1235000,71.0
1555694583.3676145,1245000,65.0
1555694641.7898304,1256000,50.0
1555694657.3791795,1259000,38.0
1555694673.389286,1262000,35.0
