Wall time,Step,Value
1555688262.8566716,2487,1.0737519264221191
1555688272.5121605,4493,1.2169893980026245
1555688328.5804842,16117,2.3029139041900635
1555688424.2019737,35954,5.100580215454102
1555688432.9444842,37765,5.212947845458984
1555688474.7454734,46414,6.744768142700195
1555688534.3840957,58747,9.176507949829102
1555688562.408354,64522,9.530696868896484
1555688671.3035934,86866,13.843846321105957
1555688673.8944802,87394,12.269027709960938
1555688744.795952,101944,16.04376220703125
1555688773.5174253,107838,17.307275772094727
1555688790.6049876,111324,18.097930908203125
1555688811.0529523,115519,18.034276962280273
1555688824.0814328,118191,18.37934112548828
1555688838.792504,121193,19.049028396606445
1555688945.127032,142893,22.04159927368164
1555688963.799574,146697,21.07008934020996
1555688983.793126,150759,23.591938018798828
1555689017.4916046,157624,22.213520050048828
1555689042.8419044,162790,24.97797393798828
1555689064.625699,167235,24.894073486328125
1555689086.3826294,171670,26.206409454345703
1555689092.7675846,172973,26.399845123291016
1555689093.3522084,173094,25.775104522705078
1555689095.666567,173557,26.19224739074707
1555689120.8751688,178702,25.80038070678711
1555689209.5428746,196727,28.272125244140625
1555689274.7422864,209989,30.399322509765625
1555689304.244366,215954,31.71478271484375
1555689355.597916,226346,33.07688522338867
1555689370.1067772,229291,34.18183135986328
1555689419.664616,239339,35.87139892578125
1555689431.022184,241630,36.1940803527832
1555689434.5474052,242342,36.373207092285156
1555689452.7820466,246051,35.64072036743164
1555689467.1453996,248961,34.94499969482422
1555689476.6780179,250870,36.69062805175781
1555689489.4486566,253440,36.42799377441406
1555689506.7394884,256946,36.74720764160156
1555689534.3846486,262513,38.95665740966797
1555689575.748567,270862,39.857460021972656
1555689576.680737,271053,39.9735221862793
1555689616.2880373,279049,41.05021667480469
1555689698.3627915,295409,43.39900207519531
1555689699.1614919,295574,41.705543518066406
1555689718.6699219,299486,41.7608642578125
1555689766.1602635,309010,45.65385818481445
1555689820.4690773,319942,46.43213653564453
1555690019.3446212,359791,50.75678634643555
1555690042.1148055,364335,53.034664154052734
1555690061.9715457,368317,51.47682189941406
1555690199.3480747,395607,57.27350616455078
1555690208.9213824,397511,57.23241424560547
