Wall time,Step,Value
1555688279.774593,6000,291.0
1555688342.5533583,19000,313.0
1555688371.5134945,25000,295.0
1555688448.7713983,41000,301.0
1555688458.4275887,43000,297.0
1555688472.9449236,46000,313.0
1555688511.6557357,54000,302.0
1555688526.1917396,57000,321.0
1555688599.5110252,72000,312.0
1555688614.0770898,75000,311.0
1555688711.422062,95000,314.0
1555688750.4395761,103000,298.0
1555688769.9383712,107000,312.0
1555688867.7626543,127000,311.0
1555688931.5977168,140000,298.0
1555688985.6904044,151000,308.0
1555689010.259251,156000,302.0
1555689024.9784474,159000,313.0
1555689069.1259115,168000,298.0
1555689123.1711836,179000,314.0
1555689147.8460872,184000,335.0
1555689157.6708286,186000,290.0
1555689162.587204,187000,314.0
1555689182.3388972,191000,312.0
1555689221.6286952,199000,314.0
1555689265.9808474,208000,308.0
1555689290.7418249,213000,294.0
1555689345.0425246,224000,315.0
1555689374.677109,230000,326.0
1555689399.36603,235000,335.0
1555689473.525618,250000,304.0
1555689503.3044417,256000,317.0
1555689528.121694,261000,310.0
1555689562.7538104,268000,303.0
1555689582.7130146,272000,332.0
1555689592.6281807,274000,308.0
1555689687.761408,293000,298.0
1555689712.6821928,298000,317.0
1555689742.6651876,304000,318.0
1555689767.6257582,309000,306.0
1555689777.6550758,311000,314.0
1555689817.362508,319000,331.0
1555689877.232784,331000,315.0
1555689922.0692377,340000,306.0
1555689962.043454,348000,300.0
1555690042.2611642,364000,308.0
1555690062.2249434,368000,325.0
1555690112.6000106,378000,294.0
1555690334.9961,422000,341.0
1555690340.0531974,423000,306.0
1555690427.0141625,440000,326.0
1555690437.1705058,442000,318.0
1555690442.1823275,443000,333.0
1555690457.251606,446000,310.0
1555690533.0342574,461000,331.0
1555690548.0776975,464000,300.0
1555690553.1080692,465000,301.0
1555690603.5481079,475000,301.0
1555690689.843568,492000,284.0
1555690699.9872806,494000,309.0
1555690796.4877868,513000,312.0
1555690806.610243,515000,321.0
1555690821.795576,518000,311.0
1555690862.422531,526000,333.0
1555690892.9123516,532000,308.0
1555690903.0191612,534000,298.0
1555690918.167073,537000,319.0
1555690948.6488817,543000,316.0
1555690973.892163,548000,322.0
1555691024.814039,558000,317.0
1555691056.0789328,564000,315.0
1555691086.6488295,570000,332.0
1555691106.988196,574000,295.0
1555691137.4322205,580000,324.0
1555691147.6406186,582000,313.0
1555691173.008465,587000,330.0
1555691178.083349,588000,311.0
1555691208.6563907,594000,302.0
1555691254.247219,603000,308.0
1555691345.6723442,621000,309.0
1555691355.7947574,623000,338.0
1555691416.6566594,635000,315.0
1555691452.3355725,642000,331.0
1555691457.399273,643000,330.0
1555691467.5400562,645000,312.0
1555691482.7362478,648000,318.0
1555691492.9350398,650000,315.0
1555691554.223526,662000,310.0
1555691569.548166,665000,334.0
1555691589.9047534,669000,310.0
1555691605.375974,672000,311.0
1555691620.598679,675000,338.0
1555691641.561582,679000,326.0
1555691646.7519238,680000,330.0
1555691667.1324492,684000,312.0
1555691692.4268875,689000,317.0
1555691825.2968316,715000,320.0
1555691845.6505346,719000,340.0
1555691866.3635855,723000,306.0
1555691871.4518447,724000,318.0
1555691907.3731523,731000,297.0
1555691953.2746,740000,316.0
1555691973.8095167,744000,309.0
1555691994.1620984,748000,347.0
1555692019.9306345,753000,333.0
1555692040.4817116,757000,326.0
1555692086.5400972,766000,311.0
1555692106.9646723,770000,331.0
1555692112.1412473,771000,322.0
1555692117.989369,772000,318.0
